fighter_name,current_elo
Gerard Gordeau,511.92
Teila Tuli,485.0
Kevin Rosier,481.55
Zane Frazier,470.0
Royce Gracie,643.12
Art Jimmerson,481.55
Ken Shamrock,532.48
Patrick Smith,541.05
Jason DeLucia,503.47
Trent Jenkins,463.89
Scott Morris,502.7
Sean Daugherty,481.55
Ray Wizard,480.57
Johnny Rhodes,513.36
David Levicki,485.0
Frank Hamaker,518.45
Thaddeus Luster,481.55
Orlando Wiet,500.15
Robert Lucarelli,485.0
Remco Pardoel,515.81
Alberta Cerra Leon,481.55
Scott Baker,482.53
Minoki Ichihara,484.45
Fred Ettish,482.35
Keith Hackney,502.95
Emmanuel Yarborough,485.0
Christophe Leninger,471.9
Harold Howard,484.38
Roland Payne,485.0
Kimo Leopoldo,482.37
Felix Lee Mitchell,455.12
Steve Jennum,513.7
Joe Charles,501.83
Marcus Bossett,479.25
Eldo Xavier Dias,485.0
Guy Mezger,542.59
Jason Fairn,485.0
Ron van Clief,488.03
Joe Son,482.35
Melton Bowen,482.38
Dan Severn,574.95
Anthony Macias,480.28
Dave Beneteau,495.0
Asbel Cancio,485.0
John Dowdy,485.65
Jon Hess,515.0
Andy Anderson,485.0
Todd Medina,503.3
Larry Cureton,464.08
Oleg Taktarov,573.0
Ernie Verdicia,481.55
Joel Sutton,529.35
Jack McGlaughlin,485.0
He-Man Gipson,484.2
David Abbott,461.35
John Matua,485.0
Paul Varelans,499.98
Cal Worsham,485.86
Rudyard Moncayo,482.82
Geza Kalman,501.27
Onassis Parungao,515.0
Francesco Maturi,485.0
Scott Bessac,499.04
David Hood,481.55
Gerry Harris,485.0
Mark Hall,512.23
Ryan Parker,482.49
Marco Ruas,536.67
Sam Adkins,496.01
Keith Mielke,485.0
Don Frye,613.42
Thomas Ramirez,485.0
Joe Moreira,500.73
Jerry Bohlander,551.32
Scott Ferrozzo,516.03
Gary Goodridge,497.78
Paul Herrera,485.0
Steve Nelmark,517.55
Tai Bowden,500.65
Rafael Carino,515.0
Matt Andersen,485.0
Mark Schultz,515.65
Koji Kitao,485.61
Amaury Bitetti,502.49
Dieusel Berto,484.38
Brian Johnston,471.01
Scott Fiedler,485.0
Mark Coleman,526.55
Moti Horenstein,470.65
John Campetella,484.98
Sam Fulton,463.15
Roberto Traven,495.75
Dave Berry,485.0
Julian Sanchez,484.22
Reza Nasri,485.1
Fabio Gurgel,485.14
Jack Nilson,500.03
Nick Sanzo,497.65
Jackie Lee,485.0
Justin Martin,518.45
Eric Martin,481.55
Rainy Martinez,482.51
Yoshiki Takahashi,515.0
Wallid Ismail,485.0
Jim Mullen,485.76
Vitor Belfort,560.54
Tra Telligman,463.46
Tito Ortiz,542.15
